Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overlapping exercises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,ITB stretch (band),ITB (outer thigh) stretch,Proprioception,B,"Post ankle / leg injury, stimulate proprioception",Nil,60 seconds,"1) Stand on one leg, lifting the other leg up, and hold for up to a minute (as long as you can without losing balance). 2) Repeat 3 times. 3) When this becomes easy you can increase the challenge by closing your eyes and repeating the same exercise. 4) Increasing difficulty again, coming up onto tip toes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Beach walking,Beach walking,Proprioception,B,To stimulate proprioception / neural connections between the feet and brain,Nil,10 minutes,1) Walk on the beach barefoot! Very good for your proprioception and nerve endings in your feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Adductors,Inner thigh stretch,Stretch,B,"Runners, walkers, most sports, knee pain",Nil,30 seconds,1) Kneel down on the ground and bring your right leg out to the side with your knee straight. 2) Drop your right hip to the floor until your feel a stretch up the inner thigh. 3) Hold for 20-30 seconds. 4) Repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Hamstring stretch supine,Back of thigh stretch (lying on back),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,1) Lie on your back holding a towel or piece of strong resistance band. 2) Bend up your right knee and lift your leg placing the towel around your foot and holding onto each end with your hands. 3) Pull your right leg up in towards your chest until you feel a stretch up the back of your leg. 4) Hold for 20-30 seconds. 5) Repeat twice both sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Hamstring stretch kneeling,Back of thigh stretch (kneeling),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,"1) Kneel on the ground - place a pillow under your left knee if you have sensitive knees. 2) Straighten out your right leg in front of you. 3) Keep your lumbar curve (concavity) and lean forward from your pelvis (not lower back). 3) Feel a stretch up the back of the leg, hold for 20-30 seconds. 4) Repeat twice each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Hamstring stretch standing,Back of thigh stretch (standing),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,"1) Standing, straighten out your right leg with your heel on the ground. 2) Putting your weight on your left side bend your left knee and lean over your right leg until your feel a stretch up the back of your leg. 3) Hold for 20-30 seconds. 4) Repeat twice each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Rectus femoris (quadriceps) - standing,Front thigh stretch standing (quads),Stretch,B,"Runners, walkers, most sports",Nil,30 seconds,"1) Standing tall, bend your right knee and reach behind with your right arm to hold your right foot. 2) Draw your shoulders down and find neutral spine* (do not tilt forward). 3) Gently pull your foot into your buttocks until you feel a stretch up the front of your right thigh. 4) Hold for 20-30 seconds. 5) Repeat twice each side. (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Rectus femoris (quadriceps) - kneeling,Front thigh stretch kneeling (quads),Stretch,B,"Runners, walkers, most sports",Nil,30 seconds,"To stretch your right quad: 1) Kneel down on the ground placing a pillow under your right knee if required and lunge your left leg out in front so that your knee is at a right angle (hold onto a chair for support if needed). 2) Keep your back straight (neutral spine*) and do not twist to the side.3) Lunge forward on your back leg slightly and then tuck your tailbone under (curling your pubic bone up towards the ceiling) until you should feel a stretch up the front of your back leg (right), to increase the stretch you can hold onto your right foot. 4) Make sure your knee does not come over your ankle when you lunge forward. 5) Hold for 20-30 seconds and repeat twice each side. (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Rectus femoris (quadriceps) - sidelying,Front thigh stretch sidelying (quads),Stretch,B,"Runners, walkers, most sports",Nil,30 seconds,1) Lie on your right side with your head resting on your right arm and right knee bent for stability. 2) Bend your left knee and hold onto your left foot with your left hand. 3) Stabilise your pelvis (don't allow it to move forward) - all the movement should come from your leg. 4) Pull your left leg back until you feel a stretch up the front of the right thigh. 5) Hold for 20-30 seconds. 6) Repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Squats,Squats,Strength,I,"Runners, walkers, most sports, knee weakness",Swiss Ball,60 seconds,"1) Standing tall with feet hip width apart. 2) Place the Swiss Ball behind you against a wall in the small of your lower back. 3) Draw your shoulders down, engage your core* and squat down as if you are going to sit down in a chair. 4) Your knees travel directly in line with your ankles. 5) Your arms can straighten out in front as you squat to help balance you.6) Repeat 10-15 times. (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Barefoot squat,Barefoot squat,Strength / proprioception,I,"Runners, walkers, most sports, hip weakness",,60 seconds,"1) Standing tall with arms out front for balance and feet hip width or a little wider. 2) Try to concentrate on not leaning forward or back, weight should be through the mid to forefoot. 3) Squat down as far as you can, feet as flat as possible - you should feel no pain in hips, knees or ankles. 4) Repeat 10-15 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
